-3.9746941347352296,0.88,0.17,0.94
-3.2732727909734276,0.68,0.03,1.09
-2.322393047279507,0.47,0.17,1.03
-2.170696227168975,0.74,0.05,0.96
-2.070581074285707,0.45,0.19,0.96
-1.6420651529995463,0.48,0.1,0.56
-1.4828041020500258,0.57,0.14,0.61
-1.4329736338409396,0.92,0.04,0.67
-1.4236586497942072,0.81,0.14,0.98
-1.1636758842932484,0.44,0.19,1.01
-1.0695604052332999,0.88,0.03,0.73
-0.9956786262173574,0.57,0.07,0.82
-0.9546770212133425,0.49,0.08,1.07
-0.9430951486635274,0.45,0.16,0.67
-0.9281179926938746,0.73,0.2,0.72
-0.8794260687941501,0.76,0.19,0.68
-0.6363880201078557,0.32,0.12,0.77
-0.5030703519267851,0.92,0.18,0.78
-0.37161106994968846,0.66,0.19,1.02
-0.3595185630295782,0.45,0.05,0.54
-0.10846254232743553,0.42,0.07,0.89
0.012837224705172217,0.43,0.15,0.97
1.0128372247051722,0.36,0.04,0.68
-6.966576244513051,0.9,0.11,1.07
-5.958607314841775,0.6,0.08,0.94
-3.9172146296835497,0.49,0.05,0.86
-4.910094888560602,0.79,0.03,0.58
-4.847711655616943,0.48,0.11,1.05
-3.826813731587726,0.32,0.13,0.51
1.1789769472931695,0.82,0.14,0.67
-5.801342913045578,0.8,0.14,0.58
-6.785156151952302,0.83,0.13,0.53
0.250420002308894,0.69,0.2,0.95
-6.728158393463501,0.32,0.05,0.62
-3.721246399047171,0.95,0.07,0.93
-5.714442690992226,0.64,0.11,0.54
-5.686132779630847,0.81,0.05,1.06
-7.684029654543083,0.86,0.05,0.65
0.32014628611105395,0.84,0.18,0.54
-5.6595558851598815,0.4,0.12,1.06
-7.653647025549361,0.46,0.08,1.01
-3.6516951369518393,0.8,0.03,1.06
-4.638272163982407,0.75,0.04,0.73
-6.632644078973981,0.68,0.05,0.61
-6.621602099051862,0.93,0.14,0.55
-4.614393726401688,0.48,0.09,0.87
-4.614393726401688,0.48,0.09,0.87
-7.598599459218456,0.61,0.06,0.79
-5.590066876668706,0.72,0.09,0.64
-3.576754126063192,0.57,0.1,0.84
-6.568636235841013,0.71,0.13,0.85
-5.52432881167557,0.97,0.12,0.79
-4.494850021680094,0.53,0.19,0.74
-3.490797477668897,0.65,0.09,0.54
-7.464705879957229,0.55,0.08,0.56
-7.452225294612178,0.62,0.07,0.56
-5.441291429466834,0.96,0.12,0.78
0.5774917998372253,0.39,0.05,0.79
-4.391473966422806,0.57,0.08,1.01
-5.39040559077478,0.97,0.2,0.94
-6.38933983691012,0.55,0.08,0.64
-5.320572103387881,0.75,0.11,0.76
-5.292429823902063,0.69,0.17,0.73
-7.29073003902417,0.63,0.15,0.83
-6.282329496997738,0.89,0.02,0.83
-3.2298847052128985,0.47,0.03,0.63
0.8312296938670634,0.88,0.09,1.08
-7.148130399270234,0.97,0.06,0.61
-3.1203307943679466,0.86,0.13,0.95
-4.099086932262331,0.84,0.15,1.09
-5.079354998593212,0.96,0.09,0.71
-6.073657553374345,0.62,0.09,0.86
0.9498777040368748,0.47,0.17,0.94
-4.029653123769907,0.77,0.11,0.86
